"email";"nome";"azienda";"oggetto";"corpo"
"officina@autosoccorsomodena.com";"";"Autosoccorso SNC";"Autosoccorso SNC - Un pannello per gli appuntamenti";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Autosoccorso SNC ho pensato a un piccolo pannello per gestire gli appuntamenti ricevuti e le conferme ai clienti. Dal vostro sito emerge questo punto: appuntamenti con targa, vettura e tipo di intervento.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@artdesignmodena.it";"";"Art Design Modena";"Art Design Modena - Preparare meglio la consulenza d'arredo";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Art Design Modena ho pensato a una scheda pre-consulenza con ambienti, misure indicative e stile desiderato. Dal vostro sito emerge questo punto: consulenze su appuntamento e arredo personalizzato.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"enrico@giardinieremodena.it";"";"Gardening 9010";"Gardening 9010 - Foto e superficie prima del sopralluogo";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Gardening 9010 ho pensato a una richiesta sopralluogo con foto e superficie, distinta per progetto e manutenzione. Dal vostro sito emerge questo punto: giardini, terrazzi, irrigazione e noleggio piante.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"falegnamerialessinia@gmail.com";"";"Falegnameria Lessinia";"Falegnameria Lessinia - Un modulo preventivi per prodotto";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Falegnameria Lessinia ho pensato a un modulo di richiesta per prodotto con foto e quantità, integrato nel sito attuale. Dal vostro sito emerge questo punto: prodotti in legno, PVC e alluminio con personalizzazioni.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@milanoservice.com";"";"Milano Service Traslochi";"Milano Service Traslochi - Trasloco e deposito nella stessa richiesta";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Milano Service Traslochi ho pensato a una scheda preventivo con dati logistici e opzione deposito mobili. Dal vostro sito emerge questo punto: sede operativa con deposito e richieste di trasloco.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"serramentipadovasrl@gmail.com";"";"Serramenti Padova";"Serramenti Padova - Foto e misure prima dell'appuntamento";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Serramenti Padova ho pensato a una scheda pre-appuntamento per raccogliere foto e misure prima della visita. Dal vostro sito emerge questo punto: consulenze showroom prenotabili online.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@sonciniequintavalla.com";"";"Soncini & Quintavalla";"Soncini & Quintavalla - Una scheda prima della consulenza";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Soncini & Quintavalla ho pensato a una scheda progetto con tipologia di arredo e immagini prima della consulenza. Dal vostro sito emerge questo punto: consulenze e preventivi per lavori di falegnameria.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"pirozziumberto@yahoo.it";"";"Falegnameria Pirozzi";"Falegnameria Pirozzi - Progetti e allegati nei preventivi";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Falegnameria Pirozzi ho pensato a un modulo progetto con allegati e testi uniformi, collegato all'elenco dei preventivi. Dal vostro sito emerge questo punto: richieste gestite attraverso un modulo generico.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@salvadoriserramenti.it";"";"Salvadori Serramenti";"Salvadori Serramenti - Una richiesta guidata per i nuovi infissi";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Salvadori Serramenti ho pensato a una richiesta guidata per tipo di infisso, foto e misure, con risposte gestibili da dashboard. Dal vostro sito emerge questo punto: produzione in legno e showroom con preventivi gratuiti.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@puracatering.it";"";"Pura Catering";"Pura Catering - Richieste catering assegnate per provincia";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Pura Catering ho pensato a un pannello per assegnare le richieste ai referenti territoriali e seguirne l'esito. Dal vostro sito emerge questo punto: servizi in più province e richieste tramite simulatore.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
